STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,reportType,Visibility,Temperature,Humidity,WindSpeed,HourlyWindDirection,HourlyStationPressure,HourlySeaLevelPressure,HourlyAltimeterSetting,DailySunrise,DailySunset
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 00:51,FM-15,10,30,56,9,330,29.28,30.02,30,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 01:51,FM-15,10,30,58,0,0,29.27,30.02,29.99,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 02:51,FM-15,6,29,72,8,330,29.28,30.02,30,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 03:51,FM-15,0.75,28,81,0,0,29.29,30.04,30.01,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 04:51,FM-15,10,26,78,11,350,29.32,30.06,30.04,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 05:51,FM-15,10,25,72,11,360,29.35,30.09,30.07,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 06:51,FM-15,5,23,72,7,360,29.37,30.12,30.09,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 07:51,FM-15,10,21,68,11,360,29.42,30.17,30.14,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 08:51,FM-15,9,21,65,9,360,29.45,30.19,30.17,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 09:51,FM-15,10,21,62,9,360,29.46,30.21,30.18,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 10:51,FM-15,10,21,59,11,340,29.49,30.24,30.21,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 11:51,FM-15,10,21,54,9,360,29.49,30.24,30.21,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 12:51,FM-15,10,22,50,10,340,29.5,30.25,30.22,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 13:51,FM-15,10,22,55,8,10,29.47,30.22,30.19,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 14:51,FM-15,10,20,65,13,350,29.51,30.26,30.23,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 15:51,FM-15,6,18,68,14,360,29.5,30.25,30.22,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 16:51,FM-15,5,16,74,9,360,29.53,30.29,30.25,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 17:51,FM-15,0.5,15,74,9,10,29.54,30.3,30.26,1227,2342
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 18:51,FM-15,1,14,77,9,350,29.56,30.32,30.28,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 19:51,FM-15,1.5,13,74,9,360,29.56,30.32,30.28,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 20:51,FM-15,2,12,77,11,350,29.59,30.35,30.31,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 21:51,FM-15,0.75,11,77,13,350,29.59,30.35,30.31,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 22:51,FM-15,2,11,73,10,350,29.57,30.34,30.3,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 23:51,FM-15,2.5,11,70,11,360,29.57,30.33,30.29,1226,2343
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,01-03-2014 23:59,SOD,10,32,61,10,0,29.35,30.09,30.07,1226,2343
