STATION,STATION_NAME,DATE,Visibility,Temperature,Humidity,WindSpeed,HourlyWindDirection
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 00:51,10,30,56,9,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 01:51,10,30,58,0,0
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 02:51,6,29,72,8,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 03:51,0.75,28,81,0,0
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 04:51,10,26,78,11,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 05:51,10,25,72,11,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 06:51,5,23,72,7,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 07:51,10,21,68,11,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 08:51,9,21,65,9,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 09:51,10,21,62,9,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 10:51,10,21,59,11,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 11:51,10,21,54,9,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 12:51,10,22,50,10,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 13:51,10,22,55,8,10
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 14:51,10,20,65,13,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 15:51,6,18,68,14,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 16:51,5,16,74,9,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 17:51,0.5,15,74,9,10
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 18:51,1,14,77,9,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 19:51,1.5,13,74,9,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 20:51,2,12,77,11,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 21:51,0.75,11,77,13,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 22:51,2,11,73,10,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 23:51,2.5,11,70,11,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,01-03-2014 23:59,10,32,61,10,0
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 00:51,1.5,10,73,10,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 01:51,4,10,69,9,10
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 02:51,2,10,73,8,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 03:51,4,9,70,14,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 04:51,9,9,58,10,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 05:51,9,8,57,10,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 06:51,10,7,57,13,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 07:51,10,7,57,14,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 08:51,10,8,57,14,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 09:51,10,9,55,10,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 10:51,10,10,55,13,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 11:51,10,12,56,8,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 12:51,10,13,54,14,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 13:51,10,12,53,11,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 14:51,10,12,53,14,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 15:51,10,11,51,9,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 16:51,10,9,52,11,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 17:51,10,7,50,13,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 18:51,10,6,45,13,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 19:51,10,5,42,14,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 20:51,10,4,40,9,330
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 21:51,10,2,44,8,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 22:51,10,3,40,10,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 23:51,10,2,42,8,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,02-03-2014 23:59,10,32,61,10,0
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 00:51,10,2,42,11,360
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 01:51,10,1,44,9,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 02:51,10,0,44,10,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 03:51,10,-1,46,9,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 04:51,10,-1,46,13,350
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 05:51,10,-1,51,11,340
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,03-03-2014 06:51,10,0,54,13,350
